                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.5751,                 2.0373,                      0,                0.84001,                0.66334,                0.76862,                0.53564,                 2.3432,                 1.7719,                      0,               0.003466,               0.003466,               0.003466
                     68,                  2.576,                 2.0398,                      0,                0.84121,                0.66301,                 0.7691,                0.53632,                 2.3407,                 1.7694,                      0,               0.003367,               0.003367,               0.003367
                     69,                 2.5705,                  2.032,                      0,                0.83703,                0.66482,                0.76916,                0.53633,                 2.3385,                 1.7686,                      0,               0.003268,               0.003268,               0.003268
                     70,                   2.56,                 2.0231,                      0,                0.83728,                0.66575,                0.76925,                0.53664,                 2.3358,                  1.767,                      0,               0.003169,               0.003169,               0.003169
                     71,                 2.5614,                 2.0249,                      0,                0.83782,                0.66556,                0.77033,                0.53758,                 2.3332,                 1.7632,                      0,                0.00307,                0.00307,                0.00307
                     72,                 2.5557,                 2.0144,                      0,                0.83917,                0.66647,                0.77143,                0.53862,                 2.3317,                 1.7586,                      0,               0.002971,               0.002971,               0.002971
                     73,                 2.5495,                 2.0059,                      0,                0.84122,                0.66672,                0.77235,                0.53943,                 2.3295,                  1.755,                      0,               0.002872,               0.002872,               0.002872
                     74,                 2.5477,                 2.0042,                      0,                0.84166,                0.66749,                0.77288,                0.54018,                 2.3266,                 1.7524,                      0,               0.002773,               0.002773,               0.002773
                     75,                 2.5361,                 1.9951,                      0,                0.84263,                0.66842,                 0.7735,                0.54063,                 2.3254,                 1.7494,                      0,               0.002674,               0.002674,               0.002674
                     76,                 2.5417,                 1.9988,                      0,                0.84308,                0.66937,                0.77431,                0.54149,                 2.3236,                  1.746,                      0,               0.002575,               0.002575,               0.002575
                     77,                 2.5318,                 1.9852,                      0,                0.84329,                0.66967,                 0.7747,                  0.542,                 2.3222,                 1.7442,                      0,               0.002476,               0.002476,               0.002476
                     78,                 2.5252,                 1.9802,                      0,                0.84463,                0.66928,                 0.7754,                0.54266,                 2.3194,                  1.741,                      0,               0.002377,               0.002377,               0.002377
                     79,                  2.519,                 1.9729,                      0,                0.84173,                0.67264,                0.77626,                0.54351,                 2.3176,                 1.7373,                      0,               0.002278,               0.002278,               0.002278
                     80,                 2.5104,                 1.9658,                      0,                0.84362,                0.67222,                 0.7769,                  0.544,                 2.3165,                 1.7342,                      0,               0.002179,               0.002179,               0.002179
                     81,                 2.5062,                 1.9647,                      0,                0.84216,                  0.674,                0.77747,                0.54466,                 2.3136,                  1.732,                      0,                0.00208,                0.00208,                0.00208
                     82,                 2.5016,                 1.9574,                      0,                0.84457,                0.67285,                0.77767,                0.54515,                 2.3112,                 1.7303,                      0,               0.001981,               0.001981,               0.001981
                     83,                 2.4955,                 1.9482,                      0,                0.84619,                0.67358,                0.77853,                0.54604,                 2.3097,                 1.7267,                      0,               0.001882,               0.001882,               0.001882
                     84,                 2.4913,                 1.9367,                      0,                0.84463,                0.67477,                0.77888,                0.54624,                 2.3078,                 1.7243,                      0,               0.001783,               0.001783,               0.001783
                     85,                 2.4856,                   1.93,                      0,                0.84591,                0.67498,                0.77938,                0.54695,                 2.3064,                 1.7199,                      0,               0.001684,               0.001684,               0.001684
                     86,                 2.4828,                 1.9301,                      0,                0.84662,                0.67622,                0.77987,                0.54748,                 2.3054,                 1.7167,                      0,               0.001585,               0.001585,               0.001585
                     87,                 2.4708,                 1.9187,                      0,                0.84838,                0.67591,                0.78037,                0.54812,                 2.3034,                 1.7142,                      0,               0.001486,               0.001486,               0.001486
                     88,                 2.4669,                 1.9093,                      0,                0.85092,                0.67487,                0.78075,                0.54868,                 2.3014,                  1.711,                      0,               0.001387,               0.001387,               0.001387
                     89,                 2.4605,                 1.9063,                      0,                0.84932,                0.67526,                0.78112,                0.54912,                 2.2989,                 1.7079,                      0,               0.001288,               0.001288,               0.001288
                     90,                 2.4542,                 1.8982,                      0,                0.85014,                0.67322,                0.78021,                0.54875,                 2.2961,                 1.7085,                      0,               0.001189,               0.001189,               0.001189
                     91,                 2.3996,                 1.7856,                      0,                0.84861,                0.67378,                0.77929,                0.54906,                  2.291,                 1.7078,                      0,                0.00109,                0.00109,                0.00109
                     92,                 2.3839,                  1.767,                      0,                0.84996,                0.67287,                0.77896,                0.54948,                 2.2863,                 1.7056,                      0,               0.000991,               0.000991,               0.000991
                     93,                 2.3649,                 1.7484,                      0,                0.84943,                0.67484,                 0.7799,                0.55025,                 2.2839,                  1.701,                      0,               0.000892,               0.000892,               0.000892
                     94,                 2.3587,                 1.7385,                      0,                0.85235,                0.67422,                0.78122,                 0.5516,                 2.2806,                 1.6966,                      0,               0.000793,               0.000793,               0.000793
                     95,                 2.3454,                  1.721,                      0,                0.85122,                0.67551,                0.78211,                0.55248,                 2.2783,                  1.694,                      0,               0.000694,               0.000694,               0.000694
                     96,                 2.3348,                 1.7109,                      0,                0.85032,                0.67645,                0.78252,                0.55321,                 2.2756,                 1.6911,                      0,               0.000595,               0.000595,               0.000595
                     97,                 2.3244,                 1.6978,                      0,                0.85147,                0.67625,                0.78297,                0.55393,                  2.273,                 1.6881,                      0,               0.000496,               0.000496,               0.000496
                     98,                 2.3148,                 1.6831,                      0,                 0.8523,                0.67656,                0.78383,                0.55482,                  2.271,                 1.6855,                      0,               0.000397,               0.000397,               0.000397
                     99,                 2.3074,                 1.6744,                      0,                0.85351,                0.67679,                0.78467,                0.55536,                 2.2691,                 1.6821,                      0,               0.000298,               0.000298,               0.000298
                    100,                 2.2928,                 1.6603,                      0,                0.85558,                0.67664,                0.78527,                0.55603,                 2.2683,                  1.679,                      0,               0.000199,               0.000199,               0.000199
